Date,Year,Pump sets,Cumulative pump sets energized,Groundwater_Level,Average Rainfall (mm),POPULATION,RURAL_POPULATION,URBAN_POPULATION,GROWTH_RATE_PERCENT
2000-02-19,2000,153626.17486338798,12866040.114754098,17.68,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-20,2000,154144.3825136612,12866908.68852459,17.83,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-21,2000,154662.59016393442,12867777.262295082,17.73,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-22,2000,155180.79781420765,12868645.836065574,17.3,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-23,2000,155699.00546448087,12869514.409836063,17.5,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-24,2000,156217.2131147541,12870382.983606558,17.38,14.8,2459676.0,502757.0,1956918.0,18.59
2000-02-25,2000,156735.42076502732,12871251.55737705,17.77,19.2,2459676.0,502757.0,1956918.0,18.59
2000-02-26,2000,157253.62841530054,12872120.13114754,17.54,8.6,2459676.0,502757.0,1956918.0,18.59
2000-02-27,2000,157771.83606557376,12872988.704918033,17.36,5.4,2459676.0,502757.0,1956918.0,18.59
2000-02-28,2000,158290.043715847,12873857.278688524,17.98,3.2,2459676.0,502757.0,1956918.0,18.59
2000-02-29,2000,158808.2513661202,12874725.852459015,17.17,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-01,2000,159326.45901639343,12875594.426229509,19.75,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-02,2000,159844.66666666666,12876463.0,19.58,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-03,2000,160362.8743169399,12877331.573770491,19.82,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-04,2000,160881.08196721313,12878200.147540985,19.61,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-05,2000,161399.28961748636,12879068.721311476,18.97,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-06,2000,161917.49726775958,12879937.295081967,19.54,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-07,2000,162435.7049180328,12880805.86885246,19.25,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-08,2000,162953.91256830603,12881674.44262295,19.45,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-09,2000,163472.12021857925,12882543.016393442,19.82,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-10,2000,163990.32786885247,12883411.590163937,19.06,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-11,2000,164508.5355191257,12884280.163934426,19.12,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-12,2000,165026.74316939892,12885148.737704918,19.12,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-13,2000,165544.95081967214,12886017.31147541,19.36,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-14,2000,166063.15846994537,12886885.885245902,18.88,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-15,2000,166581.3661202186,12887754.459016394,19.28,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-16,2000,167099.5737704918,12888623.032786883,19.15,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-17,2000,167617.78142076504,12889491.606557377,19.5,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-18,2000,168135.98907103826,12890360.180327868,19.1,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-19,2000,168654.19672131148,12891228.75409836,19.42,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-20,2000,169172.4043715847,12892097.327868853,19.04,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-21,2000,169690.61202185793,12892965.901639344,18.86,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-22,2000,170208.81967213115,12893834.475409836,19.44,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-23,2000,170727.02732240438,12894703.049180329,19.46,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-24,2000,171245.2349726776,12895571.62295082,19.13,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-25,2000,171763.44262295082,12896440.196721312,19.34,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-26,2000,172281.65027322405,12897308.770491805,19.06,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-27,2000,172799.85792349727,12898177.344262294,19.57,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-28,2000,173318.0655737705,12899045.918032788,19.73,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-29,2000,173836.27322404372,12899914.49180328,19.76,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-30,2000,174354.48087431694,12900783.06557377,19.81,0.0,2459676.0,502757.0,1956918.0,18.59
2000-03-31,2000,174872.68852459016,12901651.639344262,19.27,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-01,2000,175390.8961748634,12902520.213114752,19.84,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-02,2000,175909.1038251366,12903388.786885248,20.22,15.0,2459676.0,502757.0,1956918.0,18.59
2000-04-03,2000,176427.31147540984,12904257.360655738,19.55,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-04,2000,176945.51912568306,12905125.93442623,20.28,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-05,2000,177463.72677595628,12905994.50819672,19.39,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-06,2000,177981.9344262295,12906863.081967212,19.65,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-07,2000,178500.14207650273,12907731.655737706,19.81,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-08,2000,179018.34972677595,12908600.229508195,19.79,4.0,2459676.0,502757.0,1956918.0,18.59
2000-04-09,2000,179536.55737704918,12909468.803278688,20.17,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-10,2000,180054.7650273224,12910337.37704918,19.97,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-11,2000,180572.9726775956,12911205.950819671,20.19,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-12,2000,181091.18032786885,12912074.524590164,20.09,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-13,2000,181609.38797814207,12912943.098360656,20.29,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-14,2000,182127.5956284153,12913811.672131147,20.31,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-15,2000,182645.8032786885,12914680.24590164,19.71,12.0,2459676.0,502757.0,1956918.0,18.59
2000-04-16,2000,183164.0109289617,12915548.819672132,20.31,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-17,2000,183682.21857923496,12916417.393442623,19.29,13.2,2459676.0,502757.0,1956918.0,18.59
2000-04-18,2000,184200.4262295082,12917285.967213117,20.47,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-19,2000,184718.6338797814,12918154.540983606,19.62,25.0,2459676.0,502757.0,1956918.0,18.59
2000-04-20,2000,185236.84153005463,12919023.114754098,20.39,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-21,2000,185755.04918032783,12919891.68852459,19.91,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-22,2000,186273.25683060108,12920760.262295082,19.42,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-23,2000,186791.46448087436,12921628.836065574,20.03,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-24,2000,187309.6721311476,12922497.409836063,19.73,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-25,2000,187827.8797814208,12923365.983606558,19.95,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-26,2000,188346.087431694,12924234.55737705,20.14,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-27,2000,188864.29508196723,12925103.13114754,19.95,23.0,2459676.0,502757.0,1956918.0,18.59
2000-04-28,2000,189382.50273224045,12925971.704918033,20.34,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-29,2000,189900.71038251367,12926840.278688524,19.79,0.0,2459676.0,502757.0,1956918.0,18.59
2000-04-30,2000,190418.9180327869,12927708.852459015,20.4,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-01,2000,190937.1256830601,12928577.426229509,19.24,19.0,2459676.0,502757.0,1956918.0,18.59
2000-05-02,2000,191455.3333333333,12929446.0,19.24,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-03,2000,191973.54098360657,12930314.573770491,20.16,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-04,2000,192491.7486338798,12931183.147540985,19.54,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-05,2000,193009.956284153,12932051.721311476,19.0,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-06,2000,193528.16393442624,12932920.295081967,19.75,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-07,2000,194046.37158469943,12933788.86885246,19.84,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-08,2000,194564.57923497268,12934657.44262295,19.39,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-09,2000,195082.7868852459,12935526.016393442,19.41,4.3,2459676.0,502757.0,1956918.0,18.59
2000-05-10,2000,195600.99453551916,12936394.590163937,19.57,9.8,2459676.0,502757.0,1956918.0,18.59
2000-05-11,2000,196119.20218579235,12937263.163934426,19.37,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-12,2000,196637.4098360656,12938131.737704918,19.6,51.2,2459676.0,502757.0,1956918.0,18.59
2000-05-13,2000,197155.6174863388,12939000.31147541,19.01,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-14,2000,197673.825136612,12939868.885245902,19.25,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-15,2000,198192.03278688525,12940737.459016394,19.56,0.0,2459676.0,502757.0,1956918.0,18.59
